action_1_amount,action_1_player,action_1_street,action_1_type,action_2_amount,action_2_player,action_2_street,action_2_type,action_3_amount,action_3_player,action_3_street,action_3_type,action_4_amount,action_4_player,action_4_street,action_4_type,action_5_amount,action_5_player,action_5_street,action_5_type,action_6_amount,action_6_player,action_6_street,action_6_type,action_7_amount,action_7_player,action_7_street,action_7_type,action_8_amount,action_8_player,action_8_street,action_8_type,action_9_amount,action_9_player,action_9_street,action_9_type,community_cards,current_street,final_pot,final_stack,game_number,hand_name,hand_value,hole_cards,initial_seats,initial_stack,player_name,pot,round_count,street,win_rate,won_hand
10,jtebejytpsofqmerdbylqm,preflop,call,10,plzwtvrhuerwoivyrlqogb,preflop,call,990,jtebejytpsofqmerdbylqm,flop,raise,990,plzwtvrhuerwoivyrlqogb,flop,call,,,,,,,,,,,,,,,,,,,,,"SK,HA,HT",river,2000,0,1,,,"D4,C3","[{'name': 'Player1', 'uuid': 'plzwtvrhuerwoivyrlqogb', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'jtebejytpsofqmerdbylqm', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,flop,0.16,0
10,nmchjogbytztzhdbxtawlm,preflop,call,10,hzhzpdkriccvzilvpxbqhc,preflop,call,0,nmchjogbytztzhdbxtawlm,flop,call,0,hzhzpdkriccvzilvpxbqhc,flop,call,0,nmchjogbytztzhdbxtawlm,turn,call,0,hzhzpdkriccvzilvpxbqhc,turn,call,0,nmchjogbytztzhdbxtawlm,river,call,0,hzhzpdkriccvzilvpxbqhc,river,call,,,,,"S8,HQ,CT,D5,D4",river,20,1010,1,,,"D9,CK","[{'name': 'Player1', 'uuid': 'hzhzpdkriccvzilvpxbqhc', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'nmchjogbytztzhdbxtawlm', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.27,1
10,bgphakzpkimmvbvonfgwnd,preflop,call,10,klzzhznbcadrietvvsksqb,preflop,call,0,bgphakzpkimmvbvonfgwnd,flop,call,0,klzzhznbcadrietvvsksqb,flop,call,0,bgphakzpkimmvbvonfgwnd,turn,call,0,klzzhznbcadrietvvsksqb,turn,call,990,bgphakzpkimmvbvonfgwnd,river,raise,990,klzzhznbcadrietvvsksqb,river,call,,,,,"SJ,HA,DK,S2,SQ",river,2000,0,1,,,"H3,C6","[{'name': 'Player1', 'uuid': 'klzzhznbcadrietvvsksqb', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'bgphakzpkimmvbvonfgwnd', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,river,0.03,0
10,otupprkfeahmhmmszqbaeh,preflop,call,10,ehtnfxusrxwilcvfpkespu,preflop,call,990,otupprkfeahmhmmszqbaeh,flop,raise,990,ehtnfxusrxwilcvfpkespu,flop,call,,,,,,,,,,,,,,,,,,,,,"C8,DK,D6",river,2000,0,1,,,"C7,CA","[{'name': 'Player1', 'uuid': 'ehtnfxusrxwilcvfpkespu', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'otupprkfeahmhmmszqbaeh', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,flop,0.55,0
1000,juadbvcfmcxinpbwmxjfmd,preflop,raise,1000,skoidapgjxytsiywsgymls,preflop,call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,2000,0,1,,,"SJ,H5","[{'name': 'Player1', 'uuid': 'skoidapgjxytsiywsgymls', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'juadbvcfmcxinpbwmxjfmd', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,preflop,0.48,0
1000,rutpnhqtuttjaujdwcxmny,preflop,raise,1000,dlhhkooeignecuvrvtzbuv,preflop,call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,2000,2000,1,,,"ST,H9","[{'name': 'Player1', 'uuid': 'dlhhkooeignecuvrvtzbuv', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'rutpnhqtuttjaujdwcxmny', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,preflop,0.61,1
1000,aswtwguqpvscrdtoiktijp,preflop,raise,1000,cervddlwacigxhbtzedjic,preflop,call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,2000,0,1,,,"D2,CQ","[{'name': 'Player1', 'uuid': 'cervddlwacigxhbtzedjic', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'aswtwguqpvscrdtoiktijp', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,preflop,0.51,0
10,mciasgjahcqgvhmchhzoqk,preflop,call,10,iuaxausfpctggbiuvwjizw,preflop,call,0,mciasgjahcqgvhmchhzoqk,flop,call,0,iuaxausfpctggbiuvwjizw,flop,call,0,mciasgjahcqgvhmchhzoqk,turn,call,0,iuaxausfpctggbiuvwjizw,turn,call,0,mciasgjahcqgvhmchhzoqk,river,call,0,iuaxausfpctggbiuvwjizw,river,call,,,,,"CQ,H2,HQ,C4,C2",river,20,1010,1,,,"HA,S6","[{'name': 'Player1', 'uuid': 'iuaxausfpctggbiuvwjizw', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'mciasgjahcqgvhmchhzoqk', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.6,1
10,czmzqwceilywncekfrigkj,preflop,call,10,kjmpanjvodmazeavopdmpw,preflop,call,0,czmzqwceilywncekfrigkj,flop,call,0,kjmpanjvodmazeavopdmpw,flop,call,990,czmzqwceilywncekfrigkj,turn,raise,990,kjmpanjvodmazeavopdmpw,turn,call,,,,,,,,,,,,,"C8,C2,CA,C6",river,2000,0,1,,,"S3,C7","[{'name': 'Player1', 'uuid': 'kjmpanjvodmazeavopdmpw', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'czmzqwceilywncekfrigkj', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,turn,0.57,0
10,otahygcdjvjqylgtfnwnhc,preflop,call,10,nkgoqcudrlunbwerpveqao,preflop,call,0,otahygcdjvjqylgtfnwnhc,flop,call,0,nkgoqcudrlunbwerpveqao,flop,call,0,otahygcdjvjqylgtfnwnhc,turn,call,0,nkgoqcudrlunbwerpveqao,turn,call,0,otahygcdjvjqylgtfnwnhc,river,call,0,nkgoqcudrlunbwerpveqao,river,call,,,,,"SJ,C8,C6,DQ,C7",river,20,990,1,,,"H5,S3","[{'name': 'Player1', 'uuid': 'nkgoqcudrlunbwerpveqao', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'otahygcdjvjqylgtfnwnhc', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.07,0
10,jaiguczlxqhmnnyrxkimtv,preflop,call,10,mwwsnicershuosotafrkqb,preflop,call,990,jaiguczlxqhmnnyrxkimtv,flop,raise,990,mwwsnicershuosotafrkqb,flop,call,,,,,,,,,,,,,,,,,,,,,"C6,H5,CJ",river,2000,0,1,,,"D9,H2","[{'name': 'Player1', 'uuid': 'mwwsnicershuosotafrkqb', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'jaiguczlxqhmnnyrxkimtv', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,flop,0.24,0
10,lqzzplpiumkowhfjhkjyyz,preflop,call,10,bcycngciruwixunwtlawlz,preflop,call,0,lqzzplpiumkowhfjhkjyyz,flop,call,0,bcycngciruwixunwtlawlz,flop,call,0,lqzzplpiumkowhfjhkjyyz,turn,call,0,bcycngciruwixunwtlawlz,turn,call,0,lqzzplpiumkowhfjhkjyyz,river,call,0,bcycngciruwixunwtlawlz,river,call,,,,,"H3,H2,C9,SA,H9",river,20,1010,1,,,"DJ,ST","[{'name': 'Player1', 'uuid': 'bcycngciruwixunwtlawlz', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'lqzzplpiumkowhfjhkjyyz', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.26,1
10,yicgksgmlzupoxlmgapqma,preflop,call,10,zcouaarjhmfxbrgfebzqut,preflop,call,0,yicgksgmlzupoxlmgapqma,flop,call,0,zcouaarjhmfxbrgfebzqut,flop,call,0,yicgksgmlzupoxlmgapqma,turn,call,0,zcouaarjhmfxbrgfebzqut,turn,call,0,yicgksgmlzupoxlmgapqma,river,call,0,zcouaarjhmfxbrgfebzqut,river,call,,,,,"S9,C4,CT,S2,S7",river,20,1010,1,,,"SQ,C8","[{'name': 'Player1', 'uuid': 'zcouaarjhmfxbrgfebzqut', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'yicgksgmlzupoxlmgapqma', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.22,1
1000,vpnvoelshivbdvlpueklmk,preflop,raise,1000,nbfgkhqzxomrrpevyafbgv,preflop,call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,river,2000,0,1,,,"S4,H4","[{'name': 'Player1', 'uuid': 'nbfgkhqzxomrrpevyafbgv', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'vpnvoelshivbdvlpueklmk', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,preflop,0.58,0
10,jzuqleoatrbgaxbiuqlkdn,preflop,call,10,ullduzexufvsfgrtdykvzs,preflop,call,0,jzuqleoatrbgaxbiuqlkdn,flop,call,0,ullduzexufvsfgrtdykvzs,flop,call,990,jzuqleoatrbgaxbiuqlkdn,turn,raise,990,ullduzexufvsfgrtdykvzs,turn,call,,,,,,,,,,,,,"CQ,D2,S3,D8",river,2000,0,1,,,"H6,DK","[{'name': 'Player1', 'uuid': 'ullduzexufvsfgrtdykvzs', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'jzuqleoatrbgaxbiuqlkdn', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,turn,0.39,0
10,zgpypyascsdbleqlawoszp,preflop,call,10,xbozityahyywwmmeispgpr,preflop,call,0,zgpypyascsdbleqlawoszp,flop,call,0,xbozityahyywwmmeispgpr,flop,call,0,zgpypyascsdbleqlawoszp,turn,call,0,xbozityahyywwmmeispgpr,turn,call,0,zgpypyascsdbleqlawoszp,river,call,0,xbozityahyywwmmeispgpr,river,call,,,,,"S8,H7,DQ,DJ,DA",river,20,990,1,,,"HK,C5","[{'name': 'Player1', 'uuid': 'xbozityahyywwmmeispgpr', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'zgpypyascsdbleqlawoszp', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.38,0
10,rksjualdvtvyewrlyhipkh,preflop,call,10,ggxhqgifbklsqdtffwyzqn,preflop,call,0,rksjualdvtvyewrlyhipkh,flop,call,0,ggxhqgifbklsqdtffwyzqn,flop,call,0,rksjualdvtvyewrlyhipkh,turn,call,0,ggxhqgifbklsqdtffwyzqn,turn,call,0,rksjualdvtvyewrlyhipkh,river,call,0,ggxhqgifbklsqdtffwyzqn,river,call,,,,,"CK,S2,DK,H6,S7",river,20,990,1,,,"H5,HT","[{'name': 'Player1', 'uuid': 'ggxhqgifbklsqdtffwyzqn', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'rksjualdvtvyewrlyhipkh', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.17,0
10,aumoaqtcthwhnehulknexa,preflop,call,10,sckbrveyhadewdvepdrhos,preflop,call,0,aumoaqtcthwhnehulknexa,flop,call,0,sckbrveyhadewdvepdrhos,flop,call,0,aumoaqtcthwhnehulknexa,turn,call,990,sckbrveyhadewdvepdrhos,turn,raise,990,aumoaqtcthwhnehulknexa,turn,call,,,,,,,,,"CT,C6,HJ,SK",river,2000,2000,1,,,"C9,DQ","[{'name': 'Player1', 'uuid': 'sckbrveyhadewdvepdrhos', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'aumoaqtcthwhnehulknexa', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,turn,0.92,1
10,vgmqjmpvqbeoqkjtjbiynq,preflop,call,10,eeivxupywsrrxecaxtkjwh,preflop,call,0,vgmqjmpvqbeoqkjtjbiynq,flop,call,0,eeivxupywsrrxecaxtkjwh,flop,call,0,vgmqjmpvqbeoqkjtjbiynq,turn,call,0,eeivxupywsrrxecaxtkjwh,turn,call,0,vgmqjmpvqbeoqkjtjbiynq,river,call,0,eeivxupywsrrxecaxtkjwh,river,call,,,,,"D7,HQ,C5,S3,S8",river,20,990,1,,,"ST,S4","[{'name': 'Player1', 'uuid': 'eeivxupywsrrxecaxtkjwh', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'vgmqjmpvqbeoqkjtjbiynq', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.07,0
10,qiwsvqigsoafkzjwfpifhl,preflop,call,1000,vxnfoglbyaweqwhrrghvqa,preflop,raise,1000,qiwsvqigsoafkzjwfpifhl,preflop,call,,,,,,,,,,,,,,,,,,,,,,,,,,river,2000,2000,1,,,"CK,DK","[{'name': 'Player1', 'uuid': 'vxnfoglbyaweqwhrrghvqa', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'qiwsvqigsoafkzjwfpifhl', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,preflop,0.83,1
10,weahkuklsxwolitqnriktg,preflop,call,10,rkkdivbrqvsppucggelihy,preflop,call,0,weahkuklsxwolitqnriktg,flop,call,0,rkkdivbrqvsppucggelihy,flop,call,0,weahkuklsxwolitqnriktg,turn,call,0,rkkdivbrqvsppucggelihy,turn,call,0,weahkuklsxwolitqnriktg,river,call,0,rkkdivbrqvsppucggelihy,river,call,,,,,"C8,DK,H8,SQ,C7",river,20,990,1,,,"CJ,C5","[{'name': 'Player1', 'uuid': 'rkkdivbrqvsppucggelihy', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'weahkuklsxwolitqnriktg', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.35,0
10,htqdhvckmuxaelmgccfctn,preflop,call,10,gvgeyywbuijwdprvjgetju,preflop,call,0,htqdhvckmuxaelmgccfctn,flop,call,990,gvgeyywbuijwdprvjgetju,flop,raise,990,htqdhvckmuxaelmgccfctn,flop,call,,,,,,,,,,,,,,,,,"DJ,C4,S2",river,2000,2000,1,,,"C8,SJ","[{'name': 'Player1', 'uuid': 'gvgeyywbuijwdprvjgetju', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'htqdhvckmuxaelmgccfctn', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,flop,0.8,1
10,vrtlbsyfpujeunjkfcftts,preflop,call,1000,vhdsxnawxekuxjeyaqxslm,preflop,raise,1000,vrtlbsyfpujeunjkfcftts,preflop,call,,,,,,,,,,,,,,,,,,,,,,,,,,river,2000,2000,1,,,"H8,S8","[{'name': 'Player1', 'uuid': 'vhdsxnawxekuxjeyaqxslm', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'vrtlbsyfpujeunjkfcftts', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,preflop,0.79,1
10,ahebeshjtywqtsfqxylxyh,preflop,call,10,ckqudpumsrdcqfpiamaczj,preflop,call,0,ahebeshjtywqtsfqxylxyh,flop,call,0,ckqudpumsrdcqfpiamaczj,flop,call,0,ahebeshjtywqtsfqxylxyh,turn,call,0,ckqudpumsrdcqfpiamaczj,turn,call,0,ahebeshjtywqtsfqxylxyh,river,call,0,ckqudpumsrdcqfpiamaczj,river,call,,,,,"HK,HJ,C5,CT,C2",river,20,1010,1,,,"S2,S6","[{'name': 'Player1', 'uuid': 'ckqudpumsrdcqfpiamaczj', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'ahebeshjtywqtsfqxylxyh', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.39,1
10,iiatxuskodqnahokzchhgc,preflop,call,10,fmhekuhlsarlgelrfzpthh,preflop,call,0,iiatxuskodqnahokzchhgc,flop,call,0,fmhekuhlsarlgelrfzpthh,flop,call,0,iiatxuskodqnahokzchhgc,turn,call,0,fmhekuhlsarlgelrfzpthh,turn,call,0,iiatxuskodqnahokzchhgc,river,call,0,fmhekuhlsarlgelrfzpthh,river,call,,,,,"H8,DA,S8,SA,CK",river,20,990,1,,,"C5,C6","[{'name': 'Player1', 'uuid': 'fmhekuhlsarlgelrfzpthh', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'iiatxuskodqnahokzchhgc', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.2,0
10,tmfcpqzqgzlzhdlzdawyoy,preflop,call,10,yypjymrokmcekisgjmuqov,preflop,call,0,tmfcpqzqgzlzhdlzdawyoy,flop,call,0,yypjymrokmcekisgjmuqov,flop,call,0,tmfcpqzqgzlzhdlzdawyoy,turn,call,0,yypjymrokmcekisgjmuqov,turn,call,0,tmfcpqzqgzlzhdlzdawyoy,river,call,0,yypjymrokmcekisgjmuqov,river,call,,,,,"D9,D6,C5,DA,C2",river,20,990,1,,,"HT,CJ","[{'name': 'Player1', 'uuid': 'yypjymrokmcekisgjmuqov', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'tmfcpqzqgzlzhdlzdawyoy', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.13,0
10,gpeiwmjgwagjqbkzjljury,preflop,call,10,nbcshhvapzpwvmfwwrmuua,preflop,call,0,gpeiwmjgwagjqbkzjljury,flop,call,0,nbcshhvapzpwvmfwwrmuua,flop,call,0,gpeiwmjgwagjqbkzjljury,turn,call,0,nbcshhvapzpwvmfwwrmuua,turn,call,0,gpeiwmjgwagjqbkzjljury,river,call,0,nbcshhvapzpwvmfwwrmuua,river,call,,,,,"HA,H2,CA,H4,SJ",river,20,990,1,,,"C8,C2","[{'name': 'Player1', 'uuid': 'nbcshhvapzpwvmfwwrmuua', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'gpeiwmjgwagjqbkzjljury', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.58,0
10,jlsctevnwxfavusyxwjjgk,preflop,call,10,cgjmyoapmptwlqcwskvovs,preflop,call,0,jlsctevnwxfavusyxwjjgk,flop,call,0,cgjmyoapmptwlqcwskvovs,flop,call,0,jlsctevnwxfavusyxwjjgk,turn,call,0,cgjmyoapmptwlqcwskvovs,turn,call,0,jlsctevnwxfavusyxwjjgk,river,call,0,cgjmyoapmptwlqcwskvovs,river,call,,,,,"D2,CJ,SQ,SA,D7",river,20,990,1,,,"C9,C5","[{'name': 'Player1', 'uuid': 'cgjmyoapmptwlqcwskvovs', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'jlsctevnwxfavusyxwjjgk', 'stack': 995, 'state': 'participating'}]",1000,Player1,20,1,river,0.25,0
10,pullwaavagmvihecxfmjhp,preflop,call,10,sodjbndfrrazfslkzskhmz,preflop,call,990,pullwaavagmvihecxfmjhp,flop,raise,990,sodjbndfrrazfslkzskhmz,flop,call,,,,,,,,,,,,,,,,,,,,,"HA,C4,S2",river,2000,0,1,,,"D8,D9","[{'name': 'Player1', 'uuid': 'sodjbndfrrazfslkzskhmz', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'pullwaavagmvihecxfmjhp', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,flop,0.28,0
10,qrjwgkrxjxbokqmfxbjihc,preflop,call,10,vqfewhwhwvwfuslsrhgndp,preflop,call,990,qrjwgkrxjxbokqmfxbjihc,flop,raise,990,vqfewhwhwvwfuslsrhgndp,flop,call,,,,,,,,,,,,,,,,,,,,,"C2,CT,H8",river,2000,0,1,,,"HQ,S6","[{'name': 'Player1', 'uuid': 'vqfewhwhwvwfuslsrhgndp', 'stack': 990, 'state': 'participating'}, {'name': 'Player2', 'uuid': 'qrjwgkrxjxbokqmfxbjihc', 'stack': 995, 'state': 'participating'}]",1000,Player1,1010,1,flop,0.35,0
